Harald Fluhnke;Koma Oma 1;0;3;2016;A
Wegflunken;Harald Fluhnke;1;0;2016;A
Lazio Koma;Koma Oma 1;0;2;2016;A
Harald Fluhnke;Lazio Koma;3;0;2016;A
Wegflunken;Koma Oma 1;3;0;2016;A
Lazio Koma;Wegflunken;4;0;2016;A
The Flunk, the whole Flunk and nothing but the Flunk!;Lazio Verl;2;0;2016;B
The Flunk, the whole Flunk and nothing but the Flunk!;Flunkfurter Dürstchen;4;0;2016;B
Arminia Biergefällt;Lazio Verl;0;3;2016;B
Flunkfurter Dürstchen;Lazio Verl;0;4;2016;B
The Flunk, the whole Flunk and nothing but the Flunk!;Arminia Biergefällt;4;0;2016;B
Flunkfurter Dürstchen;Arminia Biergefällt;0;1;2016;B
Drop it like it's hot;Drunken Bee;0;1;2016;C
Drunken Bee;Die flunken Ärsche;0;2;2016;C
Drop it like it's hot;Die flunken Ärsche;0;1;2016;C
Flunkynese Polonaise;Sektion Dauerblau;1;0;2016;D
SG Absturz;Flunkynese Polonaise;0;4;2016;D
Sektion Dauerblau;SG Absturz;0;4;2016;D
Flunkynese Polonaise;Simon and Garflunkel;0;2;2016;D
Simon and Garflunkel;Sektion Dauerblau;4;0;2016;D
SG Absturz;Simon and Garflunkel;0;3;2016;D
Waldeslust;Team Klopapier;4;0;2016;E
Die flinken Flunker;Team Klopapier;1;0;2016;E
Die flinken Flunker;Waldeslust;1;0;2016;E
Sportfreunde Gartenhaus;Das Original;0;4;2016;F
UPB Flunkyteam;Flunkengötter;0;3;2016;F
UPB Flunkyteam;Das Original;3;0;2016;F
Flunkengötter;Das Original;2;0;2016;F
UPB Flunkyteam;Sportfreunde Gartenhaus;2;0;2016;F
Flunkengötter;Sportfreunde Gartenhaus;3;0;2016;F
Scougoove;Invalidentruppe;0;2;2016;G
Scougoove;Koma Oma 2;1;0;2016;G
Invalidentruppe;Koma Oma 2;0;3;2016;G
Ralles Raketen;Reinholds Jungs;0;4;2016;H
Bitch 1;Lokomotive Leberschaden;0;2;2016;H
Ralles Raketen;Lokomotive Leberschaden;4;0;2016;H
Bitch 1;Reinholds Jungs;0;3;2016;H
Lokomotive Leberschaden;Reinholds Jungs;5;0;2016;H
Ralles Raketen;Bitch 1;6;0;2016;H
Koma Oma 1;Flunkengötter;0;4;2016;KO4
Ralles Raketen;Waldeslust;3;0;2016;KO4
Die flunken Ärsche;The Flunk, the whole Flunk and nothing but the Flunk!;0;4;2016;KO4
Simon and Garflunkel;Koma Oma 2;4;0;2016;KO4
Flunkengötter;Ralles Raketen;4;0;2016;KO2
Simon and Garflunkel;The Flunk, the whole Flunk and nothing but the Flunk!;4;0;2016;KO2
Ralles Raketen;The Flunk, the whole Flunk and nothing but the Flunk!;1;0;2016;KO_FINAL_3
Flunkengötter;Simon and Garflunkel;4;0;2016;KO_FINAL_1
