Waldeslust;Saufziegen;0;1;2015;A
Flunkynese Polonaise;Freibierpartei;4;0;2015;A
Freibierpartei;Saufziegen;0;4;2015;A
Waldeslust;Flunkynese Polonaise;0;2;2015;A
Flunkynese Polonaise;Saufziegen;0;3;2015;A
Freibierpartei;Waldeslust;0;4;2015;A
Die Hurricanes;Drop it like it's hot;4;0;2015;B
Arminia Biergefällt;Die flinken Flunker;0;2;2015;B
Drop it like it's hot;Die flinken Flunker;2;0;2015;B
Die Hurricanes;Arminia Biergefällt;0;1;2015;B
Arminia Biergefällt;Drop it like it's hot;0;4;2015;B
Die flinken Flunker;Die Hurricanes;0;2;2015;B
Dynamo Tresen;The Flunk, the whole Flunk and nothing but the Flunk!;0;5;2015;C
The Flunk, the whole Flunk and nothing but the Flunk!;Team Süffig;0;2;2015;C
Unmeglich Sitt;Dynamo Tresen;0;4;2015;C
Dynamo Tresen;Team Süffig;0;2;2015;C
The Flunk, the whole Flunk and nothing but the Flunk!;Unmeglich Sitt;4;0;2015;C
Unmeglich Sitt;Team Süffig;0;4;2015;C
Simon and Garflunkel;Lazio Verl;2;0;2015;D
Bitch 1;Flunkengötter;0;4;2015;D
Simon and Garflunkel;Flunkengötter;0;2;2015;D
Bitch 1;Lazio Verl;0;3;2015;D
Lazio Verl;Flunkengötter;0;3;2015;D
Simon and Garflunkel;Bitch 1;4;0;2015;D
Team Edinger;Reinholds Jungs;0;4;2015;E
Die flunken Ärsche;Stringflunga;4;0;2015;E
Stringflunga;Reinholds Jungs;0;4;2015;E
Team Edinger;Die flunken Ärsche;4;0;2015;E
Reinholds Jungs;Die flunken Ärsche;0;4;2015;E
Team Edinger;Stringflunga;1;0;2015;E
Hangover 96;Strammikas Elite;0;3;2015;F
LadyAttack;Team Beerceps;0;4;2015;F
Team Beerceps;Strammikas Elite;3;0;2015;F
Hangover 96;LadyAttack;4;0;2015;F
LadyAttack;Strammikas Elite;0;4;2015;F
Hangover 96;Team Beerceps;0;4;2015;F
Reinholds Jungs;Die flunken Ärsche;0;4;2015;KO4
Saufziegen;Die Hurricanes;4;0;2015;KO4
Flunkengötter;Team Beerceps;2;0;2015;KO4
The Flunk, the whole Flunk and nothing but the Flunk!;Team Süffig;0;4;2015;KO4
Saufziegen;Die flunken Ärsche;3;0;2015;KO2
Flunkengötter;Team Süffig;4;0;2015;KO2
Die flunken Ärsche;Team Süffig;4;0;2015;KO_FINAL_3
Saufziegen;Flunkengötter;0;2;2015;KO_FINAL_1
